title,stemmed_text
The Terminator,post apocalypt futur reign tyrann supercomput teleport cyborg assassin known termin back kill sarah connor whose unborn son destin lead insurg centuri mechan hegemoni meanwhil human resist movement dispatch lone warrior safeguard sarah stop virtual indestruct kill machin
East of Eden,teenag cal trask long affect father reserv brother aron effort meet reject also attract aron girlfriend cal becom frustrat search love accept reveal long held secret mother aron knowledg tear famili apart
Rebel Without a Cause,move new town troublemak teen jim stark suppos clean slate although new kid town bring problem search stabil stark form bond disturb classmat plato fall local girl judi howev judi girlfriend neighborhood tough buzz buzz violent confront jim challeng drag race new kid real troubl begin
Rebecca,stori young woman marri fascin widow find must live shadow former wife rebecca die mysteri sever year earlier young wife must come grip terribl secret handsom cold husband max de winter must also deal jealou obsess mr danver housekeep accept mistress hous
Boys Don't Cry,young transgend man explor gender ident search love rural nebraska
The Outsiders,two poor greaser johnni ponyboy assault viciou gang soc johnni kill one attack tension begin mount two rival gang set turbul chain event
The Bride of Frankenstein,bride frankenstein begin jame whale frankenstein end dr frankenstein kill previous portray want get away mad experi yet wife kidnap creation frankenstein agre help creat new monster time woman
Syriana,middl eastern oil industri backdrop tens drama weav togeth numer stori line bennett holiday american lawyer charg facilit dubiou merger oil compani bryan woodman switzerland base energi analyst experi person tragedi opportun visit arabian royalti meanwhil veteran cia agent bob barn uncov assassin plot unsettl origin
Rumble Fish,rusti jame absent mind street thug struggl live legendari older brother reput long day gang warfar go
The Wanderers,street bronx own youth gang joy pain adolesc live philip kaufman tell take novel richard price histori italian american gang wander
Stand by Me,gordi chri teddi vern four friend decid hike find corps ray brower local teenag hit train pluck blueberri wild
Muriel's Wedding,young social outcast australia steal money parent financ vacat hope find happi perhap love
Young Adam,young drifter work river barg disrupt employ live hide fact know dead woman found river admit
The Godfather,span year chronicl fiction italian american corleon crime famili organ crime famili patriarch vito corleon bare surviv attempt life youngest son michael step take care would killer launch campaign bloodi reveng
Some Like It Hot,two musician wit mob hit struggl find way citi found gangster opportun join girl band leav tour make getaway must first disguis women keep ident secret deal problem bring attract bandmat determin suitor
The Godfather: Part II,continu saga corleon crime famili young vito corleon grow sicili new york michael corleon attempt expand famili busi la vega hollywood cuba
Natural Born Killers,two victim traumat childhood becom lover psychopath serial murder irrespons glorifi mass media
The Godfather: Part III,midst tri legitim busi deal new york itali age mafia michael corleon seek forgiv sin take young proteg wing
High Fidelity,record store owner rob gordon get dump girlfriend laura chang sinc met revisit top five breakup time attempt figur went wrong rob seek former lover find left keep effort win laura back
King Kong,adventur filmmak carl denham set produc motion pictur unlik anyth world seen alongsid lead ladi ann darrow first mate jack driscol arriv island discov legendari creatur said neither beast man denham captur monster display broadway kong eighth wonder world
About a Boy,freeman good look smooth talk bachelor whose primari goal life avoid kind respons invent imaginari son order meet attract singl mom get hilari lesson life bright hopelessli geeki year old name marcu struggl teach marcu art cool marcu teach never old grow
The Killing,career crimin johnni clay recruit sharpshoot crook polic offic bartend bet teller name georg among other one last job goe straight get marri georg tell restless wife scheme steal million racetrack work hatch plot
Pocketful of Miracles,boozi brassi appl anni beggar basket appl much part downtown new york old broadway bootlegg dave dude sucker appl think bring luck dave girlfriend queeni martin need lot luck turn anni jam help anni daughter louis live life spanish convent come america count son count son want marri louis think mother part new york societi dave queeni croni turn anni ladi convinc count son hobnob new york elit
The War of the Roses,rose barbara oliv live happili marri coupl start wonder life would like without oliv like see want stay hous begin campaign forc leav middl fight amato divorc lawyer get see far go get rid boy go far
Ghost,sam wheat banker molli jensen artist two madli love howev sam murder friend corrupt busi partner carl bruner shadi busi deal left roam earth powerless spirit learn carl betray sam must seek help psychic oda mae brown set thing right protect molli carl goon
Willy Wonka & the Chocolate Factory,eccentr candi man willi wonka prompt worldwid frenzi announc golden ticket hidden insid five delici candi bar admit lucki holder top secret confectionari wonka agenda hidden amid world oompa loompa chocol river
Live and Let Die,jame bond must investig mysteri murder case british agent new orlean soon find gangster boss name mr big
King Kong,new york overli ambiti movi produc coerc cast hire ship crew travel mysteri skull island encount kong giant ape immedi smitten lead ladi
Oliver Twist,oliv twist modern film version charl dicken bestsel roman polanski adapt classic dicken tale orphan meet pickpocket street london join household boy train steal master
The 39 Steps,richard hanney rude awaken glamor femal spi fall bed knife back bit troubl explain scotland yard head hill scotland tri clear name locat spi ring known step
Cat on a Hot Tin Roof,alcohol ex footbal player drink day away fail come term sexual real feel footbal buddi die ambigu accid wife crucifi desper make desir resist affect wife reunion father die cancer jog host memori revel father son
The King of Comedy,aspir comic rupert pupkin attempt achiev success show busi stalk idol late night talk show host crave privaci
Batman,batman must face ruthless nemesi deform madman call joker seiz control gotham crimin underworld
Batman Begins,driven tragedi billionair bruce wayn dedic life uncov defeat corrupt plagu home gotham citi unabl work within system instead creat new ident symbol fear crimin underworld batman
The Silence of the Lambs,claric starl top student fbi train academi jack crawford want claric interview dr hannib lecter brilliant psychiatrist also violent psychopath serv life behind bar variou act murder cannib crawford believ lecter may insight case starl attract young woman may bait draw
Fargo,jerri small town minnesota car salesman burst seam debt got plan go hire two thug kidnap wife scheme collect hefti ransom wealthi father law go snap nobodi go get hurt peopl start die enter polic chief marg coffe drink parka wear extrem pregnant investig stop noth get man think small time investig skill give crook run ransom betcha
Underworld,vampir werewolv wage nocturn war centuri bet femal vampir warrior name selen famou strength werewolf hunt prowess becom smitten peac love male werewolf michael want end war
The Shawshank Redemption,frame doubl murder wife lover upstand banker andi dufresn begin new life shawshank prison put account skill work amor warden long stretch prison dufresn come admir inmat includ older prison name red integr unquench sens hope
Amadeus,wolfgang amadeu mozart remark talent young viennes compos unwittingli find fierc rival disciplin determin antonio salieri resent mozart hedonist lifestyl undeni talent highli religi salieri gradual consum jealousi becom obsess mozart downfal lead deviou scheme dire consequ men
Terminator 2: Judgment Day,nearli year pass sinc sarah connor target termin cyborg futur son john futur leader resist target newer deadli termin resist manag send protector back attempt save john mother sarah
Strange Days,set year last day old millennium movi tell stori lenni nero ex cop deal data disc contain record memori emot one day receiv disc contain memori murder kill prostitut lenni investig pull deeper deeper whirl blackmail murder rape surviv solv case
The Apartment,bud baxter minor clerk huge new york insur compani discov quick way climb corpor ladder lend apart execut place take mistress although often deal aftermath visit one night left major problem solv
Pirates of the Caribbean: At World's End,captain barbossa long believ dead come back life head edg earth turner elizabeth swann noth quit seem
Bull Durham,veteran catcher crash davi brought minor leagu durham bull help come pitch prospect nuke laloosh relationship get rocki start complic basebal groupi anni savoy set sight two men
High Noon,kane sheriff small town new mexico learn notori outlaw put jail freed arriv noon train know outlaw gang come kill kane determin stand ground attempt gather poss among local townspeopl
Casablanca,casablanca morocco decemb cynic american expatri meet former lover unforeseen complic
Barton Fink,renown new york playwright entic california write movi discov hellish truth hollywood
Riding Giants,ride giant stori big wave surfer becom hero legend sport direct skateboard guru staci peralta
Dave Chappelle's Block Party,american comedian actor deliv stori altern hip hop scene small town ohio man move brooklyn new york throw unpreced block parti
A River Runs Through It,river run cinematograph stun true stori norman maclean stori follow norman brother paul experi life grow love fli fish keep togeth despit vari life circumst untam west montana
Desert Hearts,stori straight edg literatur professor vivian travel reno get away relationship breakup fall love attract unconvent girl name cay
Terminator 3: Rise of the Machines,year sinc john connor save earth judgment day live radar steer clear use anyth skynet trace encount x robot assassin order finish start good thing connor former nemesi termin back aid adult connor like promis
Meet Joe Black,grim reaper come collect soul megamogul bill parrish arriv proposit host vacat among live trade day exist parrish agre use pseudonym joe black death begin take part parrish daili agenda fall love man daughter yet black holiday parrish life
Ocean's Thirteen,danni ocean team crimin back compos plan person ever ruthless casino owner willi bank doublecross reuben tishkoff caus heart attack danni ocean vow team anyth bring willi bank along everyth got even mean ask help enemi
Ocean's Eleven,danni ocean gang attempt rob five biggest casino la vega one night
Rio Bravo,sheriff small town southwest texa must keep custodi murder whose brother power rancher tri help escap friend kill tri muster support deputi disgrac drunk cantanker old crippl must find way hold rancher hire gun marshal arriv meantim matter complic presenc young gunsling mysteri beauti came last stagecoach
Swimming Pool,middl amus thriller relationship two differ type femal one well know british author sex craze french teen two get relationship troubl live togeth film psycholog imageri erot explor femal bodi
Notorious,order help bring nazi justic u govern agent r devlin recruit alicia huberman american daughter convict german war crimin spi begin fall one anoth alicia instruct win affect alexand sebastian nazi hide brazil sebastian becom seriou relationship alicia stake get higher devlin must watch slip undercov
Beverly Hills Cop III,back sunni southern california trail two murder axel foley team la cop billi rosewood soon discov amus park use front massiv counterfeit ring run gang shot billi boss
Broken Flowers,devoutli singl johnston dump latest girlfriend receiv anonym pink letter inform son may look
Bruce Almighty,bruce nolan toil human interest televis report buffalo n despit high rate love beauti girlfriend bruce remain unfulfil end worst day life angrili ridicul god almighti respond endow bruce divin power
Once Upon a Time in America,former prohibit era jewish gangster return lower east side manhattan thirti year later must confront ghost regret old life
Snow Cake,drama focus friendship high function autist woman man traumat fatal car accid
Catwoman,liquid discov corpor conspiraci mild manner graphic artist patienc phillip wash island resurrect endow prowess cat eager use new skill vigilant say cat mous handsom gumsho tom lone tail
"Faster, Pussycat! Kill! Kill!",three stripper seek thrill encount young coupl desert dispatch boyfriend take girl hostag begin scheme crippl old man live two son desert reputedli hide tidi sum cash becom hous guest old man tri seduc son attempt locat money realiz old man sinist intent
The Million Dollar Hotel,million dollar hotel start jump roof top clear death hotel burn ground lot strang peopl live
True Romance,clarenc marri hooker alabama steal cocain pimp tri sell hollywood owner coke tri reclaim
Insomnia,two lo angel homicid detect dispatch northern town sun set investig method murder local teen
Mambo Italiano,italian man come closet affect life crazi famili
Mystic River,live three men childhood friend shatter one famili tragedi
Snakes on a Plane,america search murder eddi kim sean jone must fli l testifi hear kim accompani fbi agent nevil flynn flight receiv unexpect visitor
Brother,japanes yakuza gangster deadli exist homeland get exil lo angel taken littl brother brother gang
